x,y,z
0,1800,-299994.6
48.54232241,1796.79326,-299994.6152
96.63639455,1787.191903,-299994.661
143.8369453,1771.252398,-299994.7366
189.7046426,1749.068461,-299994.8412
233.8090149,1720.770454,-299994.9738
275.7313158,1686.524561,-299995.1326
315.0673121,1646.531723,-299995.3161
351.4299791,1601.02636,-299995.522
384.452084,1550.274879,-299995.748
413.7886417,1494.573976,-299995.9917
439.1192269,1434.248747,-299996.2502
460.1501276,1369.650618,-299996.5205
476.6163255,1301.155107,-299996.7997
488.2832918,1229.159436,-299997.0846
494.9485851,1154.080003,-299997.3719
496.4432425,1076.349735,-299997.6583
492.6329543,996.4153344,-299997.9408
483.4190139,914.734439,-299998.2159
468.7390389,831.7727179,-299998.4807
448.5674556,748.0009135,-299998.7321
422.9157469,663.8918547,-299998.9673
391.8324599,579.9174589,-299999.1836
355.4029729,496.5457418,-299999.3786
313.7490258,414.2378543,-299999.5499
267.0280131,333.4451659,-299999.6959
215.4320473,254.6064129,-299999.8146
159.1867971,178.1449302,-299999.9049
98.55010736,104.4659834,-299999.9656
33.81041156,33.95422027,-299999.9962
-34.7150553,-33.02874413,-299999.9962
-106.6822303,-96.14659168,-299999.9656
-181.7223707,-155.0904011,-299999.9049
-259.4443629,-209.5805695,-299999.8146
-339.4371767,-259.3685438,-299999.6959
-421.2724501,-304.2383504,-299999.5499
-504.5071874,-344.0079137,-299999.3786
-588.6865533,-378.5301543,-299999.1836
-673.3467451,-407.6938614,-299998.9673
-758.0179249,-431.4243321,-299998.7321
-842.2271925,-449.6837745,-299998.4807
-925.5015801,-462.4714717,-299998.2159
-1007.371049,-469.8237062,-299997.9408
-1087.371473,-471.8134446,-299997.6583
-1165.047576,-468.5497849,-299997.3719
-1239.955831,-460.1771708,-299997.0846
-1311.667269,-446.8743759,-299996.7997
-1379.770209,-428.8532677,-299996.5205
-1443.872869,-406.3573565,-299996.2502
-1503.605862,-379.6601396,-299995.9917
-1558.624538,-349.0632528,-299995.748
-1608.611179,-314.8944385,-299995.522
-1653.277021,-277.505346,-299995.3161
-1692.364083,-237.2691773,-299995.1326
-1725.646817,-194.5781931,-299994.9738
-1752.933535,-149.8410958,-299994.8412
-1774.067629,-103.4803062,-299994.7366
-1788.928568,-55.92915169,-299994.661
-1797.432662,-7.628983875,-299994.6152
-1799.533593,40.97375614,-299994.6
-1795.222705,89.43050484,-299994.6152
-1784.529061,137.2935575,-299994.661
-1767.519251,184.1190437,-299994.7366
-1744.296966,229.4698786,-299994.8412
-1715.002336,272.9186698,-299994.9738
-1679.81103,314.0505619,-299995.1326
-1638.933142,352.4660007,-299995.3161
-1592.611839,387.783398,-299995.522
-1541.12182,419.6416804,-299995.748
-1484.767557,447.7027059,-299995.9917
-1423.881354,471.6535325,-299996.2502
-1358.821232,491.2085237,-299996.5205
-1289.968646,506.1112781,-299996.7997
-1217.726053,516.1363696,-299997.0846
-1142.514351,521.0908878,-299997.3719
-1064.770201,520.8157685,-299997.6583
-984.9432467,515.186905,-299997.9408
-903.4932548,504.1160338,-299998.2159
-820.8871935,487.5513884,-299998.4807
-737.5962654,465.4781177,-299998.7321
-654.0929155,437.9184647,-299998.9673
-570.8478337,404.931706,-299999.1836
-488.3269711,366.6138516,-299999.3786
-406.9885878,323.0971069,-299999.5499
-327.2803537,274.5491004,-299999.6959
-249.6365182,221.1718818,-299999.8146
-174.4751696,163.2006977,-299999.9049
-102.1955991,100.9025514,-299999.9656
-33.17578913,34.5745574,-299999.9962
32.22996021,-35.45789994,-299999.9962
93.69324992,-108.8431912,-299999.9656
150.9136325,-185.2056372,-299999.9049
203.6204806,-264.1478609,-299999.8146
251.5746619,-345.2532808,-299999.6959
294.5700095,-428.0887298,-299999.5499
332.4345791,-512.2071822,-299999.3786
365.0316829,-597.1505725,-299999.1836
392.2606966,-682.4526868,-299998.9673
414.0576316,-767.6421084,-299998.7321
430.3954704,-852.2451994,-299998.4807
441.2842628,-935.7890982,-299998.2159
446.7709812,-1017.804714,-299997.9408
446.9391386,-1097.829701,-299997.6583
441.9081681,-1175.411386,-299997.3719
431.832572,-1250.109644,-299997.0846
416.9008424,-1321.499686,-299996.7997
397.3341631,-1389.174761,-299996.5205
373.3848993,-1452.748733,-299996.2502
345.3348862,-1511.858534,-299995.9917
313.4935265,-1566.166471,-299995.748
278.19571,-1615.362368,-299995.522
239.7995682,-1659.165541,-299995.3161
198.6840788,-1697.326571,-299995.1326
155.246535,-1729.628898,-299994.9738
109.8998968,-1755.890186,-299994.8412
63.07004039,-1775.963484,-299994.7366
15.19292466,-1789.738156,-299994.661
-33.28830823,-1797.14058,-299994.6152
-81.92627844,-1798.134613,-299994.6
-130.2723417,-1792.721811,-299994.6152
-177.8795708,-1780.941422,-299994.661
-224.3057261,-1762.870122,-299994.7366
-269.1161965,-1738.621524,-299994.8412
-311.8868899,-1708.345451,-299994.9738
-352.2070575,-1672.226971,-299995.1326
-389.6820308,-1630.485216,-299995.3161
-423.9358559,-1583.371979,-299995.522
-454.6138058,-1531.170106,-299995.748
-481.384757,-1474.191686,-299995.9917
-503.9434129,-1412.776062,-299996.2502
-522.0123607,-1347.287664,-299996.5205
